planned_budget,planned_duration,team_size,technical_complexity,stakeholder_count,methodology,project_type,risk_level
1000000,4,8,7,11,Waterfall,DevOps,low
2000000,4,47,2,1,Agile,Mobile App,low
4000000,4,36,10,9,Prototyping,Blockchain,high
2000000,4,41,4,3,Waterfall,DevOps,high
4000000,6,41,3,6,Agile,Blockchain,medium
2000000,6,28,2,14,Spiral,IoT,medium
2000000,6,25,6,4,Agile,Blockchain,medium
5000000,4,22,8,14,Iterative,AI/ML,medium
2000000,6,28,6,10,Agile,Mobile App,medium
2000000,4,36,7,4,Agile,Mobile App,high
5000000,4,37,10,7,Agile,AI/ML,high
1000000,6,47,5,14,Spiral,AI/ML,high
3000000,4,16,3,12,Iterative,IoT,low
5000000,6,15,9,19,Iterative,Data Analytics,low
5000000,6,13,9,14,Agile,DevOps,low
5000000,6,10,1,9,Waterfall,AI/ML,low
4000000,4,39,7,18,Iterative,AI/ML,high
5000000,6,28,1,1,Spiral,Cloud Migration,low
1000000,6,43,4,20,Waterfall,Cloud Migration,high
1000000,4,32,10,12,Agile,Mobile App,medium
4000000,4,32,4,20,Spiral,Blockchain,high
3000000,4,5,3,8,Agile,Enterprise Software,low
4000000,6,47,4,14,Agile,DevOps,high
2000000,6,23,9,17,Prototyping,Web Development,medium
1000000,4,12,10,6,Spiral,Enterprise Software,medium
3000000,6,20,10,4,Agile,Web Development,medium
1000000,6,35,3,11,Waterfall,DevOps,high
3000000,4,8,2,12,Spiral,AI/ML,low
4000000,4,30,6,4,Waterfall,IoT,medium
2000000,4,27,9,14,Waterfall,IoT,high
2000000,6,7,6,19,Agile,Cloud Migration,low
2000000,6,13,7,5,Agile,Web Development,low
1000000,4,21,2,1,Spiral,Web Development,low
4000000,4,20,9,11,Agile,Data Analytics,low
2000000,4,44,1,11,Spiral,Blockchain,medium
4000000,4,29,4,20,Spiral,DevOps,high
1000000,6,26,4,2,Iterative,Blockchain,medium
1000000,6,18,5,6,Waterfall,Enterprise Software,medium
4000000,4,31,8,14,Iterative,AI/ML,medium
2000000,4,49,3,7,Waterfall,DevOps,high
1000000,6,43,10,15,Waterfall,Mobile App,high
2000000,6,31,9,8,Waterfall,DevOps,high
1000000,4,22,3,20,Agile,IoT,low
2000000,4,47,8,11,Iterative,Data Analytics,high
4000000,4,43,3,12,Agile,Enterprise Software,medium
3000000,4,42,5,15,Iterative,Enterprise Software,medium
3000000,4,42,4,1,Spiral,Mobile App,high
2000000,6,48,9,14,Iterative,Enterprise Software,high
4000000,4,22,6,16,Agile,Mobile App,medium
2000000,4,5,10,9,Spiral,Blockchain,low
3000000,6,38,2,13,Agile,AI/ML,medium
3000000,6,33,2,13,Agile,DevOps,low
4000000,4,20,1,19,Agile,AI/ML,low
5000000,6,23,6,19,Spiral,IoT,medium
3000000,6,45,6,16,Waterfall,DevOps,high
2000000,6,21,6,17,Spiral,Mobile App,high
4000000,4,43,10,9,Spiral,Cloud Migration,high
3000000,6,23,8,16,Agile,Enterprise Software,low
4000000,4,43,4,19,Agile,Mobile App,high
2000000,4,25,2,11,Agile,Cybersecurity,low
5000000,4,48,1,16,Waterfall,DevOps,high
3000000,6,24,6,18,Agile,IoT,low
1000000,4,41,9,12,Spiral,Enterprise Software,high
1000000,6,41,9,20,Agile,Blockchain,high
1000000,4,21,2,18,Spiral,Enterprise Software,medium
3000000,4,18,10,8,Prototyping,DevOps,low
2000000,4,27,6,20,Spiral,DevOps,medium
4000000,4,8,1,19,Agile,Cybersecurity,low
5000000,4,31,9,6,Iterative,Cloud Migration,medium
1000000,6,27,8,14,Waterfall,Mobile App,medium
3000000,6,46,4,3,Iterative,Cybersecurity,medium
3000000,4,20,9,2,Agile,IoT,medium
4000000,6,21,8,3,V-Model,DevOps,medium
3000000,4,21,10,5,Agile,Enterprise Software,medium
5000000,4,27,5,11,Agile,Mobile App,medium
5000000,4,40,2,10,Agile,Web Development,medium
5000000,4,33,10,18,Iterative,Enterprise Software,high
5000000,4,27,3,15,Agile,Mobile App,medium
5000000,6,15,4,2,Agile,Cybersecurity,low
2000000,6,41,8,5,Waterfall,Cloud Migration,high
1000000,4,30,5,5,Spiral,Data Analytics,medium
2000000,6,5,2,8,Agile,IoT,low
5000000,6,32,9,18,Agile,Data Analytics,medium
1000000,6,17,5,7,Agile,DevOps,low
1000000,4,44,3,4,Agile,Cybersecurity,high
1000000,4,17,1,15,Spiral,Web Development,low
1000000,6,21,1,1,Agile,Cloud Migration,low
2000000,4,12,10,13,Spiral,Cloud Migration,medium
1000000,4,36,8,11,Agile,Cloud Migration,high
5000000,6,48,1,15,Spiral,DevOps,high
5000000,6,21,3,18,V-Model,AI/ML,low
5000000,4,14,8,16,Spiral,Web Development,medium
5000000,6,21,10,7,Agile,IoT,medium
4000000,4,10,3,12,Iterative,Cybersecurity,low
4000000,4,27,9,17,Agile,AI/ML,medium
3000000,4,34,2,13,Spiral,IoT,medium
4000000,4,48,3,2,Agile,Enterprise Software,high
5000000,4,27,7,7,Agile,DevOps,medium
4000000,4,24,2,15,Iterative,Blockchain,medium
2000000,6,43,10,7,Agile,IoT,high
1000000,6,20,9,1,Iterative,Cloud Migration,low
4000000,6,38,1,7,Waterfall,Enterprise Software,high
4000000,4,44,10,11,Spiral,AI/ML,high
5000000,6,26,8,12,Iterative,DevOps,medium
2000000,6,5,7,2,V-Model,Blockchain,medium
4000000,6,41,5,20,Agile,Data Analytics,medium
3000000,4,39,8,17,Agile,Web Development,high
5000000,4,15,8,14,Agile,DevOps,low
5000000,4,31,6,8,Waterfall,Data Analytics,high
3000000,6,6,6,16,Agile,Mobile App,low
5000000,4,35,5,17,Agile,Cybersecurity,medium
2000000,4,48,10,17,Iterative,DevOps,high
5000000,6,28,8,3,Spiral,Blockchain,high
5000000,4,9,7,16,Iterative,Cloud Migration,low
2000000,4,7,3,17,Iterative,Data Analytics,low
4000000,6,14,5,13,Spiral,Data Analytics,medium
3000000,6,49,6,9,Agile,DevOps,high
3000000,6,47,10,16,Waterfall,AI/ML,high
3000000,6,43,2,9,Prototyping,Mobile App,high
3000000,4,32,9,9,Agile,Web Development,high
5000000,6,10,9,1,Spiral,Data Analytics,medium
2000000,6,42,8,3,Agile,DevOps,high
3000000,4,8,5,16,Agile,DevOps,low
5000000,4,10,7,12,Waterfall,Web Development,medium
4000000,6,18,5,10,Prototyping,Blockchain,low
3000000,4,6,4,12,Agile,Cloud Migration,low
5000000,6,35,9,7,Waterfall,AI/ML,high
2000000,6,48,8,7,Agile,DevOps,high
1000000,4,45,9,14,Agile,Blockchain,high
3000000,4,48,7,15,Agile,DevOps,high
3000000,4,32,3,16,Agile,Web Development,medium
2000000,6,45,6,13,Agile,Cybersecurity,high
3000000,6,47,4,14,Agile,Web Development,high
1000000,4,40,9,4,Waterfall,Mobile App,high
1000000,6,45,3,20,Agile,Enterprise Software,high
2000000,4,37,6,6,Waterfall,DevOps,high
3000000,4,40,5,8,Waterfall,DevOps,high
1000000,4,33,2,8,Agile,Web Development,low
1000000,4,18,3,2,Waterfall,Blockchain,medium
4000000,4,18,8,17,Waterfall,Blockchain,medium
5000000,6,7,3,12,Iterative,Blockchain,low
3000000,6,6,1,1,Agile,AI/ML,low
1000000,6,28,10,17,Agile,Enterprise Software,high
2000000,6,38,5,3,Agile,Web Development,medium
1000000,4,29,2,1,Waterfall,Blockchain,medium
5000000,6,22,7,5,Agile,Data Analytics,low
3000000,4,49,2,20,Agile,Cybersecurity,high
1000000,4,17,2,9,Agile,DevOps,low
5000000,6,10,5,8,Agile,Cybersecurity,low
4000000,6,27,3,15,Iterative,Blockchain,low
3000000,6,18,10,19,Prototyping,Cloud Migration,medium
5000000,6,29,5,9,Waterfall,DevOps,high
5000000,6,12,4,3,Iterative,Mobile App,low
5000000,4,46,5,4,Spiral,DevOps,high
2000000,4,20,1,15,Spiral,Cloud Migration,medium
5000000,6,46,1,20,Agile,Blockchain,high
4000000,4,29,9,13,Iterative,AI/ML,medium
1000000,6,8,4,11,Agile,Web Development,low
5000000,6,40,6,14,Waterfall,Blockchain,high
5000000,6,6,4,18,Agile,Cloud Migration,low
3000000,6,25,3,19,Iterative,AI/ML,medium
3000000,6,5,9,13,Agile,Web Development,low
3000000,4,42,1,10,Waterfall,Enterprise Software,high
1000000,4,46,7,7,Agile,DevOps,high
2000000,6,14,9,12,Spiral,Blockchain,medium
2000000,6,12,4,19,Agile,Cybersecurity,low
2000000,4,43,2,15,Prototyping,IoT,low
1000000,6,5,7,20,Prototyping,Web Development,low
4000000,4,12,9,9,Agile,Cloud Migration,low
4000000,4,14,5,15,Agile,AI/ML,low
4000000,4,33,1,11,Agile,IoT,low
3000000,4,49,1,8,Iterative,Enterprise Software,high
2000000,4,12,9,8,Agile,IoT,medium
2000000,4,32,8,8,Agile,AI/ML,medium
2000000,6,11,1,3,Agile,Enterprise Software,low
4000000,4,16,6,6,Iterative,Cloud Migration,low
5000000,6,36,2,6,Iterative,Enterprise Software,medium
2000000,6,42,3,10,Waterfall,AI/ML,high
3000000,6,48,2,8,Agile,AI/ML,medium
3000000,6,34,3,15,Waterfall,Cybersecurity,medium
5000000,4,35,8,4,Agile,Web Development,high
4000000,6,40,9,18,Agile,Mobile App,high
4000000,6,16,9,3,Waterfall,IoT,medium
5000000,6,43,9,20,Iterative,AI/ML,high
4000000,6,26,6,16,Agile,DevOps,low
3000000,6,17,9,7,Agile,AI/ML,medium
2000000,4,9,6,13,Waterfall,Data Analytics,low
1000000,4,24,6,8,Agile,Enterprise Software,medium
2000000,4,42,2,12,Agile,Mobile App,medium
3000000,4,40,7,9,Agile,Cybersecurity,high
2000000,6,25,7,17,Agile,Cloud Migration,low
2000000,6,34,8,5,Agile,DevOps,medium
3000000,6,26,1,1,Waterfall,Blockchain,medium
5000000,4,30,8,11,Agile,IoT,medium
4000000,6,39,2,4,Waterfall,DevOps,high
1000000,4,38,9,17,Spiral,Web Development,high
5000000,6,41,2,16,Waterfall,Data Analytics,high
5000000,4,31,1,2,Agile,Mobile App,low
5000000,4,15,3,4,Agile,Enterprise Software,low
5000000,6,43,7,20,Waterfall,AI/ML,high
5000000,4,37,2,8,Spiral,Mobile App,medium
2000000,6,5,10,7,Agile,Cybersecurity,low
2000000,4,6,5,9,Agile,Enterprise Software,low
1000000,4,33,6,15,Spiral,Web Development,high
2000000,6,41,3,12,Agile,Blockchain,medium
4000000,4,21,10,9,Spiral,AI/ML,medium
1000000,6,36,9,1,Agile,Data Analytics,high
5000000,6,11,10,3,Agile,Cybersecurity,low
1000000,6,24,5,8,Agile,Data Analytics,medium
4000000,4,38,5,10,Spiral,AI/ML,high
5000000,6,34,4,20,Spiral,Cloud Migration,high
1000000,4,41,10,5,V-Model,Mobile App,high
2000000,6,16,3,14,Agile,AI/ML,low
3000000,6,43,7,10,Spiral,Data Analytics,high
5000000,6,46,6,1,Agile,AI/ML,high
4000000,4,43,4,7,Agile,Cybersecurity,medium
4000000,4,41,8,3,Agile,Cloud Migration,medium
2000000,4,5,3,10,Waterfall,DevOps,low
4000000,4,6,6,1,Iterative,DevOps,low
5000000,4,17,8,18,Agile,Web Development,medium
5000000,4,48,7,14,Waterfall,AI/ML,high
1000000,6,28,1,1,Iterative,AI/ML,low
4000000,6,43,7,15,Agile,Enterprise Software,high
4000000,6,19,3,9,Spiral,Mobile App,low
4000000,4,22,6,5,Iterative,Data Analytics,low
2000000,4,34,9,13,Agile,AI/ML,high
2000000,6,49,10,6,Waterfall,Cybersecurity,high
3000000,6,14,1,20,Agile,Enterprise Software,low
2000000,6,45,4,14,Agile,Data Analytics,high
4000000,4,21,2,15,Waterfall,AI/ML,low
4000000,6,39,7,1,Waterfall,Mobile App,high
5000000,4,43,1,11,Agile,Data Analytics,medium
1000000,6,26,5,8,Iterative,AI/ML,medium
2000000,4,40,6,5,Iterative,Blockchain,high
5000000,4,11,2,15,Agile,Data Analytics,low
3000000,4,27,10,10,Agile,Cloud Migration,medium
2000000,4,41,1,12,Agile,Cloud Migration,low
4000000,6,35,9,8,Spiral,AI/ML,high
3000000,6,15,3,17,Prototyping,Data Analytics,low
4000000,4,30,5,18,Agile,Web Development,medium
3000000,4,20,4,2,Agile,Blockchain,low
1000000,6,7,6,6,Spiral,Cloud Migration,low
3000000,6,14,10,20,Agile,IoT,medium
5000000,6,25,8,5,Agile,Cloud Migration,medium
2000000,6,15,1,4,Waterfall,Data Analytics,low
3000000,4,22,5,12,Spiral,Cybersecurity,medium
1000000,4,6,2,12,Waterfall,AI/ML,low
1000000,4,48,9,2,Agile,Cloud Migration,high
1000000,6,29,3,19,Waterfall,Cybersecurity,medium
5000000,4,6,4,8,Waterfall,AI/ML,low
2000000,4,21,8,19,Waterfall,Mobile App,medium
1000000,6,27,10,3,Spiral,Enterprise Software,high
2000000,4,28,2,4,Agile,IoT,low
2000000,6,11,8,15,Agile,AI/ML,low
2000000,4,8,9,4,Waterfall,IoT,medium
4000000,6,25,9,16,Agile,Cloud Migration,medium
3000000,6,28,5,14,Iterative,Cybersecurity,low
5000000,6,19,1,11,Agile,AI/ML,low
1000000,4,35,7,6,Prototyping,Web Development,high
5000000,6,29,7,10,Waterfall,Cloud Migration,high
3000000,6,44,5,1,Agile,Mobile App,high
3000000,4,16,8,10,Agile,Web Development,low
4000000,6,48,8,12,Agile,Enterprise Software,high
2000000,4,35,6,9,Agile,Cybersecurity,high
4000000,6,41,3,11,Agile,AI/ML,medium
2000000,6,9,8,8,Agile,Cloud Migration,low
5000000,6,27,8,9,Agile,Data Analytics,medium
5000000,6,22,10,4,Agile,Blockchain,medium
2000000,4,13,3,4,V-Model,DevOps,low
3000000,4,8,1,8,Agile,Data Analytics,low
3000000,4,27,4,16,Agile,Blockchain,low
4000000,4,38,2,15,Agile,Enterprise Software,medium
1000000,6,32,3,7,Agile,Data Analytics,low
1000000,4,21,7,6,Agile,Cloud Migration,low
1000000,4,49,8,7,V-Model,DevOps,high
2000000,6,18,4,9,Iterative,Data Analytics,low
2000000,6,21,5,1,Waterfall,AI/ML,medium
1000000,6,22,8,11,Agile,DevOps,medium
2000000,6,34,5,15,Waterfall,Mobile App,high
1000000,6,48,6,9,Waterfall,DevOps,high
4000000,6,14,3,5,Waterfall,Mobile App,low
3000000,6,46,5,4,Agile,Cybersecurity,high
1000000,6,17,7,19,V-Model,Cybersecurity,medium
4000000,6,40,1,8,Agile,DevOps,medium
5000000,4,24,9,11,Waterfall,Web Development,medium
2000000,6,45,8,1,Spiral,AI/ML,high
1000000,6,14,3,9,Iterative,Web Development,low
3000000,6,47,2,10,Agile,AI/ML,high
1000000,6,20,6,15,Iterative,Web Development,low
3000000,4,24,2,4,Waterfall,Cloud Migration,low
2000000,4,11,10,13,Spiral,DevOps,high
1000000,4,23,10,8,Agile,Web Development,medium
2000000,6,44,2,6,Agile,DevOps,high
1000000,6,16,4,16,Iterative,Mobile App,low
5000000,4,14,6,18,Agile,Data Analytics,low
1000000,6,17,8,17,Agile,Mobile App,medium
2000000,6,15,3,7,V-Model,Cloud Migration,medium
4000000,4,25,6,1,Prototyping,IoT,low
3000000,6,24,3,4,V-Model,Web Development,medium
4000000,6,21,5,20,Agile,Cybersecurity,low
2000000,4,17,7,15,Iterative,Data Analytics,medium
4000000,6,44,5,13,Waterfall,DevOps,high
2000000,6,28,2,8,Agile,Enterprise Software,medium
5000000,4,35,6,2,Agile,AI/ML,high
1000000,6,32,10,18,Agile,DevOps,high
5000000,6,25,4,1,Agile,IoT,medium
1000000,4,26,1,4,Agile,AI/ML,low
2000000,4,13,2,4,Agile,Mobile App,low
2000000,4,35,2,2,Waterfall,DevOps,medium
2000000,4,45,4,14,V-Model,Cloud Migration,high
5000000,4,27,2,10,Waterfall,Data Analytics,medium
5000000,6,6,1,6,Agile,IoT,low
3000000,6,25,7,11,Agile,IoT,medium
4000000,4,47,9,3,Spiral,Web Development,high
1000000,4,37,9,12,Agile,Data Analytics,high
1000000,4,23,9,3,Agile,Cloud Migration,low
2000000,4,26,9,15,Spiral,IoT,high
5000000,4,25,8,18,Waterfall,AI/ML,medium
5000000,4,21,2,6,Iterative,Enterprise Software,low
2000000,4,40,3,17,V-Model,Web Development,medium
3000000,6,8,8,14,Waterfall,Mobile App,low
1000000,4,6,5,6,Iterative,IoT,low
3000000,4,9,10,19,Agile,IoT,low
1000000,4,20,9,12,Agile,Mobile App,medium
5000000,4,29,9,5,Agile,Blockchain,medium
4000000,4,44,9,19,Agile,IoT,high
2000000,6,9,3,15,Agile,Cloud Migration,low
5000000,4,32,6,9,Spiral,IoT,high
4000000,4,31,2,19,Waterfall,Cybersecurity,low
2000000,4,30,7,3,Agile,Mobile App,medium
1000000,6,23,4,3,Iterative,DevOps,low
3000000,4,32,10,17,Spiral,IoT,high
5000000,4,33,10,19,Agile,AI/ML,high
3000000,4,41,5,2,Iterative,Mobile App,high
2000000,6,32,5,12,Agile,DevOps,medium
4000000,6,41,1,16,Agile,IoT,medium
3000000,6,14,1,14,Iterative,Mobile App,low
2000000,6,6,10,3,Spiral,Web Development,medium
4000000,6,42,5,2,Prototyping,Web Development,high
3000000,4,37,10,8,Waterfall,IoT,high
4000000,4,45,7,5,Spiral,Enterprise Software,high
4000000,4,8,2,6,Agile,Mobile App,low
2000000,4,7,1,8,V-Model,Cloud Migration,low
5000000,4,37,2,2,Agile,Mobile App,medium
1000000,6,5,9,20,V-Model,Blockchain,medium
3000000,6,10,6,3,Iterative,Cloud Migration,low
4000000,4,49,1,16,Agile,Cloud Migration,medium
3000000,6,40,4,2,Spiral,Enterprise Software,high
5000000,6,9,6,5,Waterfall,Cloud Migration,low
1000000,4,10,3,16,Waterfall,Mobile App,low
5000000,6,43,9,14,Agile,DevOps,high
2000000,4,37,4,1,Agile,IoT,low
2000000,4,19,1,7,Agile,Enterprise Software,low
5000000,6,30,2,13,Spiral,DevOps,medium
5000000,4,13,5,20,V-Model,IoT,low
2000000,4,7,3,20,Waterfall,Enterprise Software,low
2000000,4,11,4,8,Agile,Mobile App,low
1000000,4,39,3,14,Spiral,Web Development,high
2000000,6,18,6,4,Waterfall,DevOps,medium
3000000,6,34,10,9,Spiral,Web Development,high
5000000,4,48,2,15,Iterative,Enterprise Software,medium
5000000,4,11,10,13,Prototyping,Blockchain,low
4000000,6,7,8,18,Waterfall,IoT,medium
5000000,6,10,2,20,Waterfall,IoT,low
1000000,4,17,3,13,Agile,DevOps,low
5000000,6,18,2,14,Waterfall,Cybersecurity,low
4000000,4,20,4,8,Agile,Enterprise Software,low
2000000,4,17,8,4,Waterfall,Data Analytics,medium
4000000,6,39,1,12,Spiral,AI/ML,medium
3000000,6,35,3,2,V-Model,Enterprise Software,high
5000000,4,14,6,6,Waterfall,IoT,medium
3000000,6,22,8,10,Spiral,DevOps,medium
1000000,6,47,4,7,Waterfall,Data Analytics,high
3000000,6,8,10,11,Agile,Cloud Migration,low
5000000,6,17,1,10,Spiral,Cybersecurity,low
5000000,6,31,5,12,Spiral,Cybersecurity,high
3000000,4,44,8,18,V-Model,Blockchain,high
3000000,4,18,7,9,Waterfall,IoT,high
4000000,6,33,2,12,Agile,AI/ML,low
1000000,6,33,5,8,Agile,Enterprise Software,medium
5000000,4,47,9,2,Agile,Cybersecurity,high
4000000,6,17,4,6,Iterative,Enterprise Software,medium
5000000,6,32,9,10,Spiral,Blockchain,high
2000000,6,17,9,9,Spiral,IoT,medium
4000000,6,25,8,11,Waterfall,Blockchain,medium
4000000,6,43,4,9,Agile,IoT,medium
1000000,4,13,10,1,Prototyping,AI/ML,low
3000000,6,16,2,9,Waterfall,Cybersecurity,low
4000000,4,39,4,16,Iterative,Enterprise Software,medium
2000000,4,18,4,16,Agile,Enterprise Software,low
4000000,6,21,9,5,Agile,IoT,low
4000000,4,45,8,3,Iterative,Data Analytics,high
1000000,4,41,5,13,Waterfall,Blockchain,high
5000000,4,6,9,1,Agile,Cloud Migration,low
3000000,6,47,2,10,V-Model,DevOps,high
1000000,6,24,8,4,Prototyping,Data Analytics,medium
1000000,6,43,10,6,Agile,IoT,high
2000000,6,27,5,16,Spiral,Cloud Migration,high
1000000,4,8,8,20,Prototyping,Data Analytics,low
5000000,6,30,6,2,Iterative,Blockchain,medium
1000000,6,48,10,16,Iterative,Cybersecurity,high
3000000,6,25,3,10,Agile,IoT,low
3000000,4,29,2,13,Waterfall,Web Development,medium
2000000,6,13,7,15,Iterative,Cybersecurity,low
5000000,6,45,5,18,Agile,Cybersecurity,high
5000000,6,16,6,7,Waterfall,Web Development,low
1000000,6,14,7,15,Agile,Web Development,low
5000000,6,19,2,5,Agile,Blockchain,low
4000000,6,18,10,20,Spiral,Data Analytics,medium
1000000,4,21,4,7,Agile,Mobile App,low
5000000,4,5,10,1,Spiral,DevOps,medium
5000000,6,25,2,5,Waterfall,Blockchain,low
3000000,4,14,6,2,Waterfall,Data Analytics,medium
3000000,6,25,8,2,Waterfall,Blockchain,medium
4000000,4,42,3,13,Spiral,Enterprise Software,high
3000000,4,49,2,10,Waterfall,Cloud Migration,high
3000000,6,39,2,3,Agile,Data Analytics,medium
4000000,6,41,9,2,Waterfall,Blockchain,high
2000000,6,13,1,4,Prototyping,Enterprise Software,low
1000000,4,11,3,19,Agile,IoT,low
2000000,4,7,1,13,Spiral,IoT,low
1000000,6,24,1,4,Iterative,Mobile App,low
5000000,6,20,4,16,Agile,Data Analytics,low
1000000,6,12,1,11,Agile,Mobile App,low
3000000,4,44,10,9,Agile,Cybersecurity,high
3000000,6,42,1,12,Agile,Enterprise Software,medium
3000000,6,23,2,16,Agile,Data Analytics,low
4000000,6,11,10,8,Agile,Cloud Migration,low
2000000,6,30,1,14,Agile,DevOps,medium
3000000,6,28,8,20,Waterfall,Enterprise Software,high
4000000,6,29,9,11,Iterative,DevOps,medium
2000000,4,9,10,14,Spiral,Web Development,medium
5000000,4,11,10,13,Spiral,Blockchain,medium
3000000,6,24,2,4,Waterfall,Mobile App,medium
1000000,6,9,2,17,Agile,Enterprise Software,low
2000000,6,27,1,2,Agile,DevOps,low
4000000,4,16,6,12,Agile,Blockchain,low
4000000,4,41,5,11,Agile,Data Analytics,high
4000000,6,13,5,6,Waterfall,Web Development,medium
5000000,6,7,4,11,Spiral,DevOps,low
2000000,4,35,1,4,Agile,Web Development,medium
2000000,4,43,9,9,Spiral,Cloud Migration,high
4000000,6,31,3,10,Waterfall,Web Development,low
3000000,6,14,4,9,Agile,Web Development,low
5000000,4,11,7,17,Waterfall,Blockchain,medium
5000000,4,36,3,17,Waterfall,Cloud Migration,medium
3000000,6,49,10,10,Agile,Cybersecurity,high
2000000,4,45,7,9,Waterfall,Mobile App,high
2000000,4,25,10,20,Prototyping,Cybersecurity,medium
3000000,6,25,6,17,Spiral,Web Development,high
2000000,4,45,1,10,Iterative,Web Development,high
1000000,6,36,1,4,Waterfall,Data Analytics,medium
3000000,4,43,4,13,Agile,Mobile App,medium
3000000,4,10,9,13,Agile,Web Development,low
3000000,6,21,5,1,Agile,IoT,medium
1000000,4,10,10,17,Spiral,Enterprise Software,low
4000000,6,30,9,9,Agile,Blockchain,medium
2000000,6,46,9,4,Agile,Cloud Migration,high
1000000,4,21,2,19,Waterfall,Cybersecurity,low
1000000,6,16,7,20,Spiral,Data Analytics,medium
1000000,6,27,3,9,Agile,Cybersecurity,low
4000000,4,44,7,13,Agile,AI/ML,high
4000000,6,22,4,6,Agile,Enterprise Software,low
2000000,4,23,1,4,Iterative,Blockchain,low
4000000,4,44,2,12,Waterfall,DevOps,high
2000000,4,28,1,13,Waterfall,IoT,medium
4000000,6,12,3,5,Agile,Data Analytics,low
2000000,6,18,5,2,Waterfall,DevOps,medium
1000000,6,23,10,13,Iterative,DevOps,low
3000000,4,5,10,3,Agile,Cybersecurity,low
2000000,6,21,5,16,Waterfall,DevOps,medium
4000000,4,14,8,12,Agile,Web Development,low
5000000,6,33,8,15,Agile,IoT,medium
3000000,4,8,9,16,Prototyping,Enterprise Software,low
5000000,6,33,4,16,Agile,Blockchain,medium
1000000,4,10,5,20,Spiral,Web Development,low
2000000,6,12,8,19,Agile,IoT,low
5000000,6,35,9,12,Agile,Cloud Migration,high
1000000,4,6,4,16,Prototyping,Blockchain,low
5000000,4,14,9,7,Agile,Mobile App,low
2000000,6,32,4,6,V-Model,Blockchain,medium
5000000,6,43,9,2,Spiral,Data Analytics,high
2000000,6,9,4,8,Waterfall,Data Analytics,low
3000000,6,29,9,14,V-Model,Enterprise Software,high
2000000,4,5,9,13,Waterfall,Cybersecurity,low
2000000,6,20,4,10,V-Model,Data Analytics,medium
3000000,6,12,6,3,Iterative,Cloud Migration,low
1000000,4,6,5,16,Spiral,Cybersecurity,low
